"Node ID","Degree","Betweenness Centrality","Eigenvector Centrality","Clustering Coefficient"
"Wescott, Glenway","7","0.0000 (127)","0.0132 (248)","0.7619 (218)"
"A. F.","5","0.0000 (128)","0.0222 (173)","0.9000 (181)"
"Flexner, Hortense","3","0.0000 (129)","0.0113 (278)","0.6667 (251)"
"Goethe, Johann Wolfgang von","13","0.0000 (130)","0.0471 (76)","0.9231 (173)"
"Dismorr, Jessie","11","0.0000 (131)","0.0345 (117)","0.8364 (197)"
"Birch, Helen Louise","9","0.0000 (132)","0.0316 (129)","0.8056 (212)"
"Dean, Harriet","13","0.0000 (133)","0.0438 (82)","0.9103 (174)"
"Kiang Kang-Hu","9","0.0000 (134)","0.0318 (127)","0.8889 (190)"
"Wilkinson, Marguerite","7","0.0000 (135)","0.0224 (172)","0.8095 (211)"
"Reiss, Robert","12","0.0000 (136)","0.0354 (113)","0.8939 (187)"
"Brownell, Baker","6","0.0000 (137)","0.0172 (204)","0.7333 (229)"
"Browne, Maurice","4","0.0000 (138)","0.0138 (241)","0.6667 (249)"
"McCarthy, John Russell","7","0.0000 (139)","0.0294 (135)","0.8095 (210)"
"Davies, Mary Carolyn","5","0.0000 (140)","0.0202 (188)","0.8000 (213)"
"Monro, Harold","7","0.0000 (141)","0.0255 (163)","0.9048 (177)"
"Fenollosa, Ernest","15","0.0000 (142)","0.0479 (75)","0.9238 (172)"
"M. B.","11","0.0000 (143)","0.0373 (102)","0.8727 (192)"
"O'Donnell, Charles L.","5","0.0000 (144)","0.0219 (176)","0.9000 (185)"
"Speyer, Leonora","5","0.0000 (145)","0.0136 (245)","0.6000 (268)"
"Davis, H. L.","7","0.0000 (146)","0.0230 (168)","0.7619 (219)"
"A. S. K.","9","0.0000 (147)","0.0280 (148)","0.8889 (191)"
"Stephens, James","12","0.0000 (148)","0.0370 (104)","0.9848 (158)"
"Widdemer, Margaret","8","0.0000 (149)","0.0292 (139)","0.8214 (206)"
"Stearns, Mary Adams","15","0.0000 (150)","0.0552 (64)","0.9429 (162)"
"O'Neil, David","9","0.0000 (151)","0.0278 (149)","0.8889 (189)"
"Hagedorn, Hermann","6","0.0000 (152)","0.0214 (181)","0.8667 (193)"
"Piper, Edwin Ford","6","0.0000 (153)","0.0215 (179)","0.9333 (166)"
"C. A. Z.","8","0.0000 (154)","0.0280 (147)","0.8929 (188)"
"Millay, Edna St. Vincent","4","0.0000 (155)","0.0139 (239)","0.8333 (203)"
"R. G.","10","0.0000 (156)","0.0351 (114)","0.9333 (163)"
"Grudin, Louis","3","0.0000 (157)","0.0094 (295)","0.6667 (247)"
"Patterson, Antoinette DeCoursey","7","0.0000 (158)","0.0217 (178)","0.9048 (178)"
"De Bosschère, Jean","8","0.0000 (159)","0.0301 (134)","0.9286 (168)"
"O'Brien, Edward J.","8","0.0000 (160)","0.0370 (103)","0.9286 (170)"
"Reed, John","6","0.0000 (161)","0.0264 (155)","0.9333 (164)"
"Kilmer, Joyce","8","0.0000 (162)","0.0320 (125)","0.9286 (171)"
"Gilbert, Morris","6","0.0000 (163)","0.0225 (171)","0.8667 (194)"
"Rolland, Romain","8","0.0000 (164)","0.0294 (136)","0.9286 (167)"
"Sanders, Abel","8","0.0000 (165)","0.0293 (137)","0.9286 (169)"
"Selva, Salomón de la","4","0.0000 (166)","0.0145 (234)","0.8333 (200)"
"Wattles, Willard","6","0.0000 (167)","0.0228 (169)","0.8667 (195)"
"Barry, Iris","7","0.0000 (168)","0.0246 (164)","0.9048 (176)"
"Burke, Kenneth","5","0.0000 (169)","0.0068 (316)","0.9000 (180)"
"Cawein, Madison","5","0.0000 (170)","0.0189 (190)","0.9000 (183)"
"Carr, Daphne","7","0.0000 (171)","0.0288 (143)","0.9524 (161)"
"Fujita, Jun","5","0.0000 (172)","0.0181 (195)","0.9000 (186)"
"Campbell, Nancy","6","0.0000 (173)","0.0260 (157)","0.9333 (165)"
"Wilkinson, Florence","5","0.0000 (174)","0.0181 (196)","0.9000 (184)"
"Laird, William","3","0.0000 (175)","0.0098 (291)","0.6667 (248)"
"Damon, S. Foster","9","0.0000 (176)","0.0289 (142)","0.9722 (160)"
"Knopf, Alfred A.","11","0.0000 (177)","0.0446 (81)","0.9818 (159)"
"Moody, William Vaughn","1","0.0000 (178)","0.0038 (384)","0.0000 (335)"
"C. Z.","3","0.0000 (179)","0.0118 (266)","1.0000 (1)"
"Hunt, Violet","1","0.0000 (180)","0.0061 (332)","0.0000 (336)"
"Harris, Frank","1","0.0000 (181)","0.0063 (327)","0.0000 (337)"
"Torrence, Ridgely","4","0.0000 (182)","0.0140 (238)","1.0000 (2)"
"S. H. G.","10","0.0000 (183)","0.0323 (123)","1.0000 (3)"
"Heller, Helen West","4","0.0000 (184)","0.0150 (231)","1.0000 (4)"
"Gould, Wallace","4","0.0000 (185)","0.0150 (232)","1.0000 (5)"
"F. E. R.","13","0.0000 (186)","0.0432 (86)","1.0000 (6)"
"Robinson, Edwin Arlington","3","0.0000 (187)","0.0138 (243)","1.0000 (7)"
"Rivola, Flora Shufelt","1","0.0000 (188)","0.0061 (333)","0.0000 (338)"
"Cowan, Sada","8","0.0000 (189)","0.0256 (162)","1.0000 (8)"
"Goldman, Emma","7","0.0000 (190)","0.0321 (124)","1.0000 (9)"
"Hutchinson, Eugene","7","0.0000 (191)","0.0257 (161)","1.0000 (10)"
"Daniel, Arnaut","5","0.0000 (192)","0.0169 (206)","1.0000 (11)"
