word,frequency_garnett,frequency_fell,frequency_long
jacob,0,44,0
martha,0,15,0
shakess,0,5,0
toward,0,5,0
tree,0,5,0
grew,0,5,4
oh,0,4,0
moses,0,4,4
cried,0,4,5
ivanoff,0,3,0
piteous,0,3,0
thirsty,0,3,0
violin,0,3,0
honour,0,3,1
child,0,3,2
yes,0,3,3
profit,0,3,4
ai,0,2,0
bath-house,0,2,0
behind,0,2,0
breast,0,2,0
copecks,0,2,0
difficulty,0,2,0
farm,0,2,0
fiercely,0,2,0
fished,0,2,0
fist,0,2,0
flushed,0,2,0
foot,0,2,0
found,0,2,0
gently,0,2,0
goes,0,2,0
golden,0,2,0
good-by,0,2,0
hand,0,2,0
joiner,0,2,0
knowing,0,2,0
lit,0,2,0
moving,0,2,0
murmured,0,2,0
office,0,2,0
ou,0,2,0
ouch,0,2,0
presents,0,2,0
quarrelled,0,2,0
raised,0,2,0
result,0,2,0
sheeny,0,2,0
strangely,0,2,0
streamed,0,2,0
tender,0,2,0
waste,0,2,0
yardstick,0,2,0
abused,0,2,1
although,0,2,1
ancient,0,2,1
begin,0,2,1
dreamed,0,2,1
end,0,2,1
opposite,0,2,1
ought,0,2,1
pitied,0,2,1
sadly,0,2,1
sum,0,2,1
taking,0,2,1
threshold,0,2,1
common,0,2,2
government,0,2,2
silently,0,2,2
song,0,2,2
also,0,2,5
1,0,1,0
2,0,1,0
account,0,1,0
ached,0,1,0
administer,0,1,0
agony,0,1,0
aha,0,1,0
ahead,0,1,0
allowed,0,1,0
among,0,1,0
anger,0,1,0
anything,0,1,0
approaching,0,1,0
arranged,0,1,0
asking,0,1,0
aversion,0,1,0
bandage,0,1,0
bandages,0,1,0
begged,0,1,0
begrudged,0,1,0
believe,0,1,0
birch-trees,0,1,0
bloom,0,1,0
board,0,1,0
bon,0,1,0
bothered,0,1,0
brains,0,1,0
branches,0,1,0
breaking,0,1,0
brightly,0,1,0
bringing,0,1,0
brow,0,1,0
burning,0,1,0
capital,0,1,0
cast,0,1,0
catches,0,1,0
chances,0,1,0
cheaply,0,1,0
chiefly,0,1,0
children,0,1,0
city,0,1,0
clearly,0,1,0
completed,0,1,0
conceive,0,1,0
confounded,0,1,0
consumption,0,1,0
contemplated,0,1,0
content,0,1,0
contrary,0,1,0
correct,0,1,0
cost,0,1,0
counting,0,1,0
county,0,1,0
cousin,0,1,0
covered,0,1,0
croak,0,1,0
crow,0,1,0
crowding,0,1,0
curls,0,1,0
curly,0,1,0
darting,0,1,0
daylight,0,1,0
deacon,0,1,0
decently,0,1,0
deeply,0,1,0
deserted,0,1,0
devoutly,0,1,0
dire,0,1,0
discovery,0,1,0
disgusted,0,1,0
dislikes,0,1,0
distress,0,1,0
distressingly,0,1,0
